44531.792361109998,  -1801804.9748617469,  89092.465499138270, -6097183.5956195733
44531.793055560003,  -2153830.8180073071,  315292.35925104329, -5975083.6100206971
44531.793749999997,  -2494131.6934596123,  543140.34833135409, -5825480.5961554134
44531.794444450003,  -2821142.9856029404,  771491.60896651121, -5649027.9675472807
44531.795138889996,  -3133364.4845323721,  999182.21181068860, -5446500.7643971508
44531.795833340002,  -3429367.2421790031,  1225034.6140450200, -5218793.5841938127
44531.796527780003,  -3707800.3276241682,  1447863.4200340286, -4966918.0185351865
44531.797222219997,  -3967397.4489738857,  1666481.3986280728, -4691999.5465832157
44531.797916670002,  -4206983.3971327767,  1879705.7420802489, -4395273.8367483793
44531.798611110004,  -4425480.2587046754,  2086364.5377205543, -4078082.4120373819
44531.799305560002,  -4621913.3344832454,  2285303.4190940680, -3741867.6410802710
44531.800000000003,  -4795416.6945870258,  2475392.3489668681, -3388167.0261491672
44531.800694450001,  -4945238.2923459215,  2655532.4846712444, -3018606.7713296260
44531.801388890002,  -5070744.5578816356,  2824663.0628111535, -2634894.6281092325
44531.802083340001,  -5171424.3921920126,  2981768.2327475683, -2238812.0315668895
44531.802777780002,  -5246892.4813818596,  3125883.7690618606, -1832205.5575088598
44531.803472220003,  -5296891.8590531396,  3256103.5837032511, -1416977.7486178838
44531.804166670001,  -5321295.6538643101,  3371585.9568294147, -995077.37519092252
44531.804861110002,  -5320107.9667274011,  3471559.4129897314, -568489.21252788964
44531.805555560000,  -5293463.8397642970,  3555328.1664530253, -139223.43169314522
44531.806250000001,  -5241628.2956270752,  3622277.0653695287,  290695.28754237213
44531.806944450000,  -5164994.4389133854,  3671875.9793918887,  719238.80389254133
44531.807638890001,  -5064080.6337699499,  3703683.5789668625,  1144386.5990023275
44531.808333339999,  -4939526.7901023002,  3717350.4664014876,  1564136.7750459833
44531.809027780000,  -4792089.8032005876,  3712621.6382178995,  1976516.8441862604
44531.809722220001,  -4622638.2129665418,  3689338.2631919351,  2379594.1952984910
44531.810416670000,  -4432146.1574416328,  3647438.7800612557,  2771486.1335790646
44531.811111110001,  -4221686.7104512565,  3586959.3250752240,  3150369.4018494263
44531.811805559999,  -3992424.6944608539,  3508033.5183157516,  3514489.1078492873
44531.812500000000,  -3745609.0684633865,  3410891.6409482695,  3862166.9988254760
44531.813194449998,  -3482564.9911533133,  3295859.2438008823,  4191809.0424235635
44531.813888889999,  -3204685.6527739945,  3163355.2379929512,  4501912.2905026823
44531.814583339998,  -2913423.9682310526,  3013889.5161911505,  4791071.0192680266
44531.815277779999,  -2610284.2160571236,  2848060.1549411952,  5057982.1544096116
44531.815972220000,  -2296813.6944008963,  2666550.2514129188,  5301450.0032269787
44531.816666669998,  -1974594.4586014657,  2470124.4406125885,  5520390.3266232731
44531.817361109999,  -1645235.1928636455,  2259625.1357465507,  5713833.7921249745
44531.818055559997,  -1310363.2534756162,  2035968.5316636981,  5880928.8546160199
44531.818749999999,  -971616.91397226183,  1800140.4010311484,  6020944.1142818825
44531.819444449997,  -630637.82866746373,  1553191.7087421909,  6133270.2014578339
44531.820138889998,  -289063.72407195502,  1296234.0611344383,  6217421.2358701555
44531.820833340003,   51478.683669624785,  1030435.0016074543,  6273035.9034186965
44531.821527779997,   389380.55108389509,  757013.15591810888,  6299878.1874894826
44531.822222219998,   723057.56094514485,  477233.22585123364,  6297837.7841582121
